,Вопрос,1,2,3,4,Правильный ответ
54,Какое восприятие глубины моря известная поговорка приписывает пьяному?,по пояс,по уши,по колено,по барабану,3.0
55,"Кого неунывающий герой песни Леонида Утёсова уверял, что всё хорошо?",Маркизу,Графиню,Герцогиню,Княжну,1.0
58,"Пересекая что моряки, по традиции, устраивают «праздник Нептуна»?",Северный полюс,Гринвичский меридиан,Экватор,Южный тропик,3.0
61,"Что, по мнению Маугли, должно было объединять и сплачивать зверей?",одна кровь,одна Земля,один котёл,одни неприятности,1.0
62,Как заканчивается строка знаменитого стихотворения М. Ю. Лермонтова: «Выхожу один я…»?,на дорогу,на сцену,на трибуну,на штурм миллиона,1.0
63,Что неразрывно связывает с образом казака поговорка: «Казачья доля — конь…»?,и поле,и воля,и шашка,и казачка,2.0
65,"Какое растение, по легенде, расцветает в ночь на Ивана Купала?",Мох,Хвощ,Папоротник,Кувшинка,3.0
67,Какой титул носит супруг королевы Великобритании Елизаветы II?,Князь,Барон,Герцог,Граф,3.0
68,Кто в годы II Мировой войны на собственном катере выслеживал немецкие подводные лодки?,Хемингуэй,Фитцджеральд,Драйзер,Фолкнер,1.0
69,"Морской путь в какую страну искала экспедиция Колумба, доплыв вместо этого до Америки?",Эфиопия,Япония,Индия,Китай,3.0
72,Какое воззвание к человеческому здравомыслию не является библейской заповедью?,Не убий,Не укради,Не лжесвидетельсвуй,Не уверен - не обгоняй,4.0
73,"Какой ярлык обычно ""приклеивают"" неугомонному искателю любовных приключений?",Донкихот,Донжуан,Дон Педро,последний Дон,2.0
78,Как звали известного греческого магната-судовладельца Онассиса?,Аристотель,Платон,Сократ,Плутарх,1.0
79,Что отбрасывает ящерица при нападении хищника?,Голову,Хвост,Лапы,Копыта,2.0
80,Как заканчивается название детской сказки «Белоснежка…»?,И семь пятниц,И семь бед,И семь гномов,И семь-сорок,3.0
81,Какая подпись наиболее распространена в практике анонимных писем?,Доброволец,Доброжелатель,Добродетель,Добрый дядя,2.0
82,"Как называется загадка, выполненная в виде сочетания картинок, букв и знаков?",Чайнворд,Шарада,Ребус,Кроссворд,3.0
84,Какой из этих грибов предпочитает расти на деревьях?,Подберёзовик,Подосиновик,Подорешник,Опёнок,4.0
87,Выше какого здания Николай I запретил строить дома в Санкт-Петербурге?,Зимний дворец,Исаакиевский собор,Смольный институт,Адмиралтейство,1.0
89,"На чём спал герой романа «Что делать?» Рахметов, закаляя революционную волю?",На стёклах,На гвоздях,На углях,На горошине,2.0
92,Какие подшипники не используются в мировом машиностроении?,Шариковые,Роликовые,Игольчатые,Зубчатые,4.0
94,Какая «Земля» так и не появилась на географической карте?,Вильчека,Бунге,Санникова,Франца Иосифа,3.0
98,Какой баланс бухгалтер предприятия приносит в налоговую инспекцию?,Годовой,Пятилетний,Многолетний,Кислотно-щелочной,1.0
102,С чем недовольный качеством товара покупатель обращается к продавцу?,С рекламацией,С прокламацией,С апелляцией,С петицией,1.0
103,Как называется вытяжка из растительного сырья?,Экстракт,Эликсир,Бальзам,Настой,1.0
105,Какой христианский праздник отмечается на сороковой день после Рождества?,Благовещение,Преображение,Вознесение,Сретение,4.0
106,"Что ответил Мцыри на свой же вопрос: «Ты хочешь знать, что делал я на воле?»?",Отдыхал,Гулял,Жил,Пиво пил,3.0
107,"Продолжите известную пословицу ""Делу — время… ""?",Перекуру — минута,Обеду — полчаса,Потехе — час,Утехам — ночь,3.0
108,Кому желает спокойной ночи передача на ОРТ перед программой «Время»?,Малышам,Плохишам,Крепышам,Корешам,1.0
109,Какие из этих знаков одобрения или приветствия сопровождаются наибольшим шумом?,Аплодисменты,Рукоплескания,Овация,Хлопки,3.0
110,Какому современному слову соответствует устаревшее «пиит»?,Поэт,Критик,Прозаик,Драматург,1.0
112,Какие грибы почти никогда не бывают червивыми?,Белые,Подосиновики,Сыроежки,Лисички,4.0
116,Какого цвета были первые советские скафандры для космонавтов?,Голубого,Оранжевого,Белого,Жёлтого,2.0
119,Что из перечисленного не обозначало в России XIX века места заключения осуждённых?,Скудельный дом,Мёртвый дом,Съезжий дом,Смирительный дом,1.0
123,"Что пословица не советует рубить, пока на нём сидишь?",Стул,Печь,Сук,Кол,3.0
124,"Какое число получается при сложении цифр, указанных на диске телефона?",42,33,36,45,4.0
127,Какого цвета каски у военнослужащих миротворческих сил ООН?,Голубые,Белые,Красные,Зелёные,1.0
130,На территории какой страны находится вершина горы Эверест?,Индия,Непал,Бирма,Монголия,2.0
132,Какой христианский пост предшествует Рождеству?,Великий,Петров,Успенский,Филиппов,4.0
133,"Что, если верить поговорке, не пристало обжигать богам?",Кирпичи,Глину,Горшки,Горло,3.0
134,"Что чаще всего повторяет пассажир автобуса, пробираясь к дверям в час пик?",«Кто крайний?»,«Выходите?»,«Посторонись!»,«Покайтесь!»,2.0
135,Как называется старинный обряд знакомства жениха и его родственников с невестой?,Просмотр,Показ,Смотрины,Гляделки,3.0
136,Какое крупное произведение Максим Горький написал после успеха романа «Мать»?,«Мать-2»,«Жизнь Матвея Кожемякина»,«Вечный муж»,«Отцы и дети»,2.0
137,"Что поют, пытаясь кого-либо разжалобить?",Дифирамбы,Славу,Осанну,Лазаря,4.0
138,Ветвь какого дерева держит в клюве «голубь мира» на картине Пикассо?,Мирт,Лавр,Олива,Верба,3.0
139,Каких политических взглядов придерживался тургеневский Базаров?,Социализм,Анархизм,Нигилизм,Монархизм,3.0
140,Какое воинское звание обозначают три нашивки на погоне?,Младший сержант,Сержант,Старший сержант,Ефрейтор,2.0
141,Как называют кастрированного самца домашней свиньи?,Боров,Кабан,Хряк,Вепрь,1.0
143,"Чьи пьесы, по заявлению Льва Толстого, были «ещё хуже», чем у Шекспира?",Островского,Чехова,Горького,Лермонтова,2.0
144,Что повелел царь Иванушке взять у Жар-птицы?,Клюв,Хвост,Перо,Интервью,3.0
145,Как в народе прозвали индивидуальный металлический гараж с поднимающейся крышей?,Створка,Ракушка,Панцирь,Скорлупка,2.0
147,"Какой из этих кукольных персонажей не выступал в роли ведущего передачи «Спокойной ночи, малыши!»?",Хрюша,Каркуша,Степашка,Чебурашка,4.0
149,"Кто из популярных киногероев исполнил песню «Крутится, вертится шар голубой»?",Чапаев,Максим,Жиган,Бровкин,2.0
150,На каких лодках гребут двухлопастными вёслами без уключин?,Байдарка,Каноэ,Вельбот,Шлюпка,1.0
151,Какая из этих отечественных боевых машин передвигается на колёсах?,БТР-60,БМП-3,Т-90,БМД,1.0
153,Какие санкции влечёт за собой применение боксёром на ринге запрещённого приёма?,Красная карточка,Штрафные очки,Замена игрока,Угловой удар,2.0
154,"Если лифт не работает, чей адрес пишут на табличке?",Диспетчерской,Завода,ЖЭКа,Другого лифта,1.0
156,Что никак не хотело расти у племени дикарей с «Острова невезения»?,Кокос,Банан,Ананас,Кукуруза,1.0
157,Какая форма приветствия является официально признанной в российской армии?,Здравия желаю!,Здорово живёшь!,Здоровеньки булы!,Здрасьте!,1.0
159,"По какому государству СНГ идёт поезд, если пассажир видит в окне «степь да степь кругом»?",Белоруссия,Молдавия,Армения,Казахстан,4.0
160,Какой общественный транспорт остановится у остановки с табличкой жёлтого цвета?,Автобус,Троллейбус,Трамвай,Маршрутное такси,1.0
161,Какое из этих парфюмерных изделий относится к косметике?,Духи,Одеколон,Лосьон,Туалетная вода,3.0
162,"Каким из этих выражений характеризуют притворство, лицемерие?",Ломать ваньку,Ломать дурака,Ломать шута,Ломать комедию,4.0
164,Какому современному средству защиты соответствовала бы средневековая кираса?,Бронежилету,Щиту,Каске,Маскхалату,1.0
166,Что в буквальном переводе с латинского означает слово «президент»?,Стоящий во главе,Идущий вперёд,Сидящий впереди,Смотрящий далеко,3.0
168,Какой модуль был пристыкован к орбитальному комплексу «Мир» последним?,«Квант»,«Природа»,«Спектр»,«Кристалл»,2.0
170,Какой корреспондент не имеет отношения к журналистике?,Собственный,Специальный,Внештатный,Член-корреспондент,4.0
171,Какая из перечисленных супермоделей является темнокожей?,Клаудия Шиффер,Синди Кроуфорд,Кейт Мосс,Наоми Кемпбелл,4.0
172,Какая из этих единиц измерения не основана на пропорциях человеческого тела?,Дюйм,Ярд,Метр,Вершок,3.0
173,"Как заканчивается фраза известной песни В. Высоцкого «Я не люблю, когда мне лезут…»?",В дела,В мысли,В душу,В квартиру,3.0
174,"Каково место, которое, согласно поговорке, пусто не бывает?",Чисто,Светло,Свято,Тесно,3.0
175,"Кто, по мнению Маяковского, всегда живее всех живых?",Маркс,Ленин,Сталин,Дзержинский,2.0
178,Какое максимальное количество хоккеистов одной команды может находиться на льду?,Семь,Шесть,Десять,Восемь,2.0
180,Какое жилище создаётся его обитателями без помощи человека?,Термитник,Улей,Скворечник,Конура,1.0
181,,,,,,
183,За сохранение чего не отвечают законы физики?,Массы,Энергии,Импульса,Денег,4.0
184,Какими словами заканчивается песенная строчка «На муромской дорожке стояли…»?,Три тополя,Три осины,Три сосны,Три инспектора,3.0
187,В названии какого из этих музыкальных произведений не присутствует фамилия автора?,Полонез Огинского,Крейцерова соната,Марш Мендельсона,Марш Шопена,2.0
189,"Из чего были сшиты туфли булгаковской Маргариты, в которых она блистала на балу у Сатаны?",Лепестков розы,Лепестков фиалки,Цветов лотоса,Листьев крапивы,1.0
193,"Что, согласно Конституции, не является субъектом Российской Федерации?",Край,Республика,Федеральный округ,Автономный округ,3.0
195,Какой русский писатель ввёл термин «интеллигенция» в русскую журналистику?,Боборыкин,Гаршин,Успенский,Лесков,1.0
198,Как звучит будущее время глагола «жениться»?,Женится,Женился бы,Не дождётесь,Разведусь,1.0
199,Где обычно живёт мышь?,В конуре,В норке,В берлоге,В мышеловке,2.0
200,Что должен сделать пассажир авиалайнера перед взлётом?,Поцеловать стюардессу,Посчитать пассажиров,Пристегнуть ремни,Прокомпостировать билет,3.0
201,Что используется для управления куклой-марионеткой?,Нить,Пряник,Кнут,Деньги,1.0
203,"Что, согласно поговорке, должен знать всякий сверчок?",Своих родителей,Свой шесток,Свой уголок,Свою подругу,2.0
204,На каком транспорте в середине XX века пассажиры ездили на подножках?,Такси,Трамвай,Самолёт,Ракета,2.0
206,Куда Солоха из повести Н.Гоголя прятала ухажёров при их поочерёдном появлении?,Под кровать,В чулан,В мешок,К соседке,3.0
207,Какую часть дома воспел Юрий Антонов?,Крыша,Карниз,Балкон,Лифт,1.0
210,"С каким животным сравнивают человека, который любит поспать?",Сурок,Белка,Мышь,Хорёк,1.0
211,С помощью чего передаются сообщения в сотовой мобильной связи?,Радиоволн,Телеграмм,Писем,Пчёл,1.0
212,Какой овощ стал символизировать деньги?,Перец,Салат,Капуста,Чеснок,3.0
213,Какое пресмыкающееся является символом медицины?,Крокодил,Хамелеон,Змея,Черепаха,3.0
214,"В чём, согласно русской поговорке, на Руси измеряли лихо?",В пудах,В мешках,В возах,В фунтах,4.0
216,Какая российская футбольная команда вошла в 2001 году в «Лигу чемпионов»?,«Локомотив»,«Динамо»,«Торпедо»,ЦСКА,1.0
217,В каком месяце барон Мюнхгаузен из фильма М. Захарова нашёл 32 день и подарил его людям?,Январь,Май,Июль,Декабрь,2.0
218,Какой из этих видов одежды первоначально носили мужчины?,Леггинсы,Дольчики,Лосины,Пеньюар,3.0
220,Какое из этих слов не является названием половецких племён?,Палочи,Печенеги,Куманы,Кипчаки,2.0
221,Какой узел не является морским?,Двойной констриктор,Двойной ридовый,Двойной беседочный,Двойной виндзорский,4.0
223,"Какая профессия, по общему мнению, у невест из города Иваново?",Портнихи,Ткачихи,Поварихи,Свахи,2.0
225,"Как называют ошибку в письменном тексте, допущенную из-за невнимательности?",Описка,Отписка,Приписка,Клякса,1.0
227,Кора какого дерева служила нашим предкам исходным материалом для лаптей?,Сосны,Дуба,Липы,Осины,3.0
229,Кто из этих эстрадных певцов родом не из Прибалтики?,Яак Йоала,Георг Отс,Карел Готт,Тынис Мяги,3.0
230,Что из перечисленного не является названием ветра?,Зефир,Фьорд,Мистраль,Самум,2.0
235,Какой документ требовали у цыплёнка жареного в известной песне?,Сберкнижку,Исполнительный лист,Паспорт,Сертификат качества,3.0
243,Какие перья раньше использовали при изготовлении волана для бадминтона?,Куриные,Утиные,Страусиные,Гусиные,4.0
244,Какой из этих режиссёров никогда не снимался в собственных фильмах?,Сергей Бондарчук,Андрей Тарковский,Георгий Данелия,Эльдар Рязанов,2.0
250,Какой гостиничный номер чаще всего требуют посетители морских курортов?,С видом на море,С видом на двор,С видом на дорогу,С видом на жительство,1.0
252,"Что, согласно закону, нужно составлять в здравом уме и твёрдой памяти?",Планировку жилья,Завещание,Маршрут путешествия,Кроссворд,2.0
253,"Как звучит стандартная фраза солдата, стоящего на посту?","«Стой, кто идёт?»",«Вы куда?»,«Вы кто?»,«Закурить не найдётся?»,1.0
254,"Что, по словам героини Ф. Раневской из кинофильма «Весна», является страшной силой?",Красота,Ум,Деньги,Знакомства,1.0
255,Кто назвал настольный теннис пинг-понгом?,Англичане,Вьетнамцы,Китайцы,Лаосцы,1.0
257,Какая рабочая функция не предусмотрена в стиральных машинах?,Отжим,Полоскание,Замачивание,Глажение,4.0
259,"Что не относится к добрым спутникам настоящего мужчины, по мнению барона Мюнхгаузена?",Конь,Шпага,Красавица,Штопор,3.0
260,Что остаётся от Чеширского кота после его исчезновения?,Улыбка,Уши,Лапы,Котята,1.0
261,Кто чаще всего пользуется скоросшивателями?,Портные,Сапожники,Секретари,Хирурги,3.0
262,"Что, согласно песне «Соловьиная роща» в исполнении Льва Лещенко, уносится с полей?",Печаль,Тоска,Скука,Урожай,1.0
265,Что из перечисленного не имеет отношения к глазам?,Око,Зеница,Вежды,Ланиты,4.0
267,Какой из этих символов чаще всего встречается на государственных флагах стран мира?,Голубь,Звезда,Солнце,Полумесяц,2.0
268,Какого из этих химических элементов не существует?,Кюрий,Нобелий,Резерфордий,Эйнштейний,3.0
270,Какое из перечисленных животных является самым крупным грызуном?,Агути,Капибара,Дикобраз,Пакарана,2.0
271,Кто в сказке Андерсена оказался в итоге голым?,Король,Портные,Народ,Королева,1.0
272,Как называется распространённая детская игра?,«Казаки-разбойники»,«Старики-разбойники»,«Соловьи-разбойники»,«Разбойники с большой дороги»,1.0
273,"Что делает дачник с картошкой, посадив её?",Замачивает,Окучивает,Косит,Амнистирует,2.0
274,Как называется сумка для парашюта?,Портфель,Ранец,Чемодан,Авоська,2.0
275,"В чьи обязанности входит указывать крановщику, как поднимать и куда доставлять груз?",Такелажник,Кровельщик,Плановик,Каменщик,1.0
276,Какой из этих городов не является портом Балтийского моря?,Санкт-Петербург,Таллинн,Лиепая,Вильнюс,4.0
277,Какой этаж здания во Франции соответствует пятому этажу зданий в России?,Третий,Четвёртый,Пятый,Шестой,2.0
278,Чем традиционно на Руси просители били власть имущим?,Лицом,Челом,Кулаком,Кошельком,2.0
280,Какой из этих ветров может возникнуть в помещении?,Бриз,Пассат,Муссон,Сквозняк,4.0
281,"Как в кибернетике называется устройство, о котором ничего неведомо?",Чёрная метка,Чёрный ящик,Чёрная дыра,Чёрный ход,2.0
283,Какой из перечисленных металлов не растворяется в «царской водке»?,Золото,Платина,Железо,Серебро,4.0
284,Какая часть спортивной игры обычно бывает завершающей?,Второй гейм,Первый тайм,Четвёртый ход,Третий период,4.0
286,Какая из этих частей жилого дома получила название в честь архитектора?,Мансарда,Лоджия,Балкон,Фронтон,1.0
287,До какого события продолжается рождественский пост?,До первой Луны,До первой звезды,До первой кометы,До первого гостя,2.0
289,Сколько раз по восточному календарю выпадет за шестьдесят лет год лошади?,Три,Четыре,Пять,Шесть,3.0
290,"Что должно быть в каждой женщине, согласно песне из кинофильма «Чародеи»?",Ребус,Шарада,Загадка,Отгадка,3.0
291,Где герои кинофильма «Старый Новый год» приняли решение начать жизнь заново?,В музее,В парке,В лифте,В бане,4.0
292,"В песне какого барда есть строчка ""Лыжи у печки стоят… ""?",Юрий Визбор,Владимир Высоцкий,Булат Окуджава,Александр Галич,1.0
293,Что в конце XIX века было основным товаром на Лубянской площади в Москве во время Введенской ярмарки?,Сани,Валенки,Тулупы,Телеги,1.0
295,Какой советский космонавт получил первую космическую почту?,Алексей Леонов,Георгий Береговой,Владимир Шаталов,Георгий Гречко,3.0
297,"Где, если верить пословице, любопытной Варваре нос оторвали?",На вокзале,На базаре,В бане,В зоопарке,2.0
298,"Как называют период времени, когда солнце в северных широтах не опускается за горизонт?",Полярное утро,Полярная ночь,Полярный день,Полярный вечер,3.0
301,Какой знак восточного гороскопа следует за знаком Дракона?,Лошадь,Собака,Тигр,Змея,4.0
303,Какой «танец» исполнил Чарли Чаплин в фильме «Золотая лихорадка»?,Танец батонов,Танец булочек,Танец бубликов,Танец сухарей,2.0
304,"Какие семьи, по мнению Л. Н. Толстого, похожи друг на друга?",Счастливые,Несчастливые,Петербургские,Московские,1.0
305,"Какое неофициальное звание получал альпинист, покоривший пять высочайших вершин СССР?",Снежный баран,Снежный гриф,Снежная коза,Снежный барс,4.0
306,"Как на Руси называли мелкие льдинки, плавающие на поверхности воды перед ледоставом?",Молоко,Сметана,Масло,Сало,4.0
307,Какое астрономическое явление жители Земли могут наблюдать один раз в 76 лет?,Затмение Солнца,Парад планет,Затмение Луны,Комета Галлея,4.0
309,Что испанцы съедают в новогоднюю полночь с каждым ударом часов?,Виноградинку,Снежок,Банан,Орешек,1.0
310,"В какую одежду принято плакать, чтобы вызвать сочувствие?",В рубашку,В галстук,В кашне,В жилетку,4.0
311,Что в декабре-январе делают молодые олени?,Впадают в спячку,Сбрасывают рога,Меняют кожу,Отбрасывают копыта,2.0
312,"Что, согласно примете, предвещало девушке хлебное зерно, выметенное из-под стола под Новый год?",Приход гостей,Богатство,Замужество,Новоселье,3.0
314,На какой день недели приходится первый день Нового 2002 года?,Понедельник,Вторник,Среда,Четверг,2.0
315,На премьере какого из этих балетов две главные партии танцевала одна балерина?,«Жизель»,«Лебединое озеро»,«Раймонда»,«Щелкунчик»,2.0
316,Какие по счёту часы хотел подарить Киврин Кире Шемаханской в канун Нового года в кинофильме «Чародеи»?,11,12,13,14,4.0
317,Что в дореволюционной России означала поговорка «Идти под ёлку»?,Идти в лес,Идти в кабак,Идти в гости,Идти за подарками,2.0
318,Какое из этих украшений можно встретить на новогодней ёлке?,Серьги,Бусы,Кулоны,Браслеты,2.0
319,Какую обувь приобрёл к зиме Шарик из мультфильма про Простоквашино?,Чешки,Сабо,Кеды,Пуанты,3.0
320,"Как называется традиционная народная русская забава ""Взятие снежного… ""?",Городка,Села,Барса,Человека,1.0
321,"Чем, по словам Огурцова, героя кинофильма «Карнавальная ночь», не воспитаешь зрителя?",Голыми плечами,Голыми руками,Голыми ногами,Голой правдой,3.0
322,Как назвал А. Н. Островский свою пьесу в стихах «Снегурочка»?,Весенняя сказка,Зимняя песня,Летняя баллада,Осенняя элегия,1.0
323,С каким устройством можно сравнить рубиновые звёзды московского Кремля?,Пропеллер,Флюгер,Динамо-машина,Компас,2.0
324,"Каким предметом китайцы стараются не пользоваться в преддверии Нового года, чтобы не разрушить счастья?",Тарелка,Чашка,Нож,Палочки для еды,3.0
326,Чем украсили рождественскую ель в 1775 году жители Стратсбурга?,Яблоками,Розами,Сладостями,Картофелем,4.0
328,Месторасположение какой из этих станций в Антарктиде совпадает с полюсом холода?,«Восток»,«Мирный»,«Молодёжная»,«Пионерская»,1.0
329,"С кем, по мнению императора Карла V, надлежит разговаривать на французском языке?",С женщинами,С друзьями,С врагами,С Богом,2.0
333,Кто их этих писателей так и не стал членом Французской Академии?,Оноре де Бальзак,Жан Расин,Огюстен Скриб,Вольтер,1.0
334,Как называется самый большой по величине колокол на звоннице Ростовского кремля?,Лебедь,Сысой,Полиелей,Баран,2.0
336,Что используется в автомобильном двигателе для воспламенения горючей смеси?,Лампа,Факел,Фонарь,Свеча,4.0
337,"Какой овощ, согласно русской пословице, не слаще хрена?",Репа,Редька,Морковь,Сельдерей,2.0
338,Как следует именовать жителей Новороссийска?,Новороссияне,Новороссийцы,Новорусичи,Новые русские,2.0
340,В какой из этих игр не применяют биту?,Поло,Бейсбол,Крикет,Лапта,1.0
341,Какое название носила одна из первых кинолент в мировой истории?,«Прибытие поезда»,«Посадка самолёта»,«Швартовка парохода»,«Парковка лимузина»,1.0
342,Шкуру какого медведя не принято делить?,Бурого,Белого,Неубитого,Плюшевого,3.0
344,Количество чего достоверно указывает на возраст дерева?,Корней,Ветвей,Годовых колец,Зарубок,3.0
345,"Что, согласно названию известной французской комедии, отличало высокого блондина?",Чёрный ботинок,Чёрный галстук,Чёрный пояс,Чёрный юмор,1.0
348,"Что написал на конверте Ванька Жуков, герой одного из рассказов А. Чехова?",На деревню дедушке,Кремль. Президенту,В генпрокуратуру,Алекс-Юстасу,1.0
349,Каким образом пастор Шлаг при помощи Штирлица нелегально переправился в Швейцарию?,На велосипеде,На дельтаплане,На лыжах,На санях,3.0
350,Под какой музыкальный инструмент пляшут слабовольные личности?,Под флейту,Под шарманку,Под дудку,Под фонограмму,3.0
351,"В какую игру, имитирующую реальные отношения, чаще всего играют дети?",Дочки-матери,Таланты и поклонники,Отцы и дети,Должники и кредиторы,1.0
353,Что обычно должен получить студент для повторной сдачи экзамена?,Допуск,Пропуск,Визу,Лицензию,1.0
356,Что прилагалось к удостоверению «Ворошиловский стрелок»?,Значок,Ружьё,Мишень,Рукопожатие,1.0
358,В каком государстве в XVII-XVIII веках чеканилась монета «луидор»?,Италия,Испания,Франция,Англия,3.0
359,Как называется причудливое переплетение начальных букв имени и отчества в виде вязи?,Подпись,Росчерк,Пиктограмма,Вензель,4.0
367,В какие руки хозяева домашних животных чаще всего предлагают отдать своих питомцев?,В добрые,В чистые,В умелые,В волосатые,1.0
368,Кого князь Гвидон в сказке А.С.Пушкина спас от коршуна?,Царевну-лягушку,Царевну Несмеяну,Царевну Лебедь,Бабу-ягу,3.0
369,Чем занимались зайцы в песне А.Зацепина из к/ф «Бриллиантовая рука»?,Рубили дрова,Косили траву,Носили воду,Делили деньги,2.0
372,Как называется солёная и провяленная хребтовая часть рыбы?,Балык,Бекон,Строганина,Буженина,1.0
374,"Как называются участники публичного мероприятия, специально нанятые для создания успеха или провала?",Клакёры,Диггеры,Квакеры,Минитмены,1.0
377,"Какой гражданский чин, согласно «Табели о рангах», считался в Российской империи самым высоким?",Канцлер,Тайный советник,Статский советник,Коллежский асессор,1.0
378,Какой из перечисленных городов не посещал Фандорин в качестве дипломатического курьера по пути в Лондон?,Берлин,Вена,Париж,Прага,4.0
379,К ценности какого материала русская пословица приравнивает молчание?,Бриллиант,Серебро,Золото,Платина,3.0
